                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.59843,                0.53245,                 1.0252,                0.72007,                0.73162,                0.77253,                0.61392,                  0.782,                0.84771,                 1.2317,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.5351,                  0.409,                0.98712,                0.72196,                 0.7234,                0.76472,                0.60763,                0.79038,                0.86903,                 1.2457,             0.00015576,             0.00015576,             0.00015576
                     92,                0.53126,                0.39998,                0.99128,                0.69694,                 0.7447,                0.76749,                0.61056,                 0.7875,                 0.8593,                 1.2446,             0.00014161,             0.00014161,             0.00014161
                     93,                 0.5217,                0.38974,                0.97971,                  0.729,                0.72368,                0.76962,                0.61352,                0.78489,                0.86199,                 1.2466,             0.00012747,             0.00012747,             0.00012747
                     94,                0.51526,                0.38508,                0.97923,                0.70722,                0.74473,                0.76618,                0.61006,                  0.793,                0.86504,                 1.2516,             0.00011332,             0.00011332,             0.00011332
                     95,                0.51336,                0.37958,                0.97531,                0.71007,                0.74229,                0.77247,                0.61736,                0.78969,                0.86046,                 1.2492,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.5097,                0.37372,                0.97022,                0.71161,                  0.748,                0.77158,                 0.6162,                0.78907,                0.85812,                 1.2451,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.50701,                0.37137,                0.96829,                0.72769,                 0.7264,                0.77203,                0.61646,                0.78652,                 0.8567,                 1.2462,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.50057,                0.35915,                0.96623,                0.71847,                0.73508,                0.77062,                0.61497,                0.78972,                0.86515,                 1.2499,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.49831,                0.36197,                0.96356,                0.72352,                0.73015,                0.77048,                0.61559,                0.78507,                0.85647,                 1.2465,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.49745,                0.35339,                0.96343,                0.72888,                0.72748,                 0.7719,                0.61781,                0.78274,                 0.8581,                 1.2448,             2.8437e-05,             2.8437e-05,             2.8437e-05
