                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.57414,                0.50931,                  0.996,                0.63867,                0.56145,                 1.0254,                0.75204,                0.70569,                0.76242,                0.59517,                0.80706,                0.89533,                 1.2214,                0.84837,                0.99463,                 1.2426,             0.00035382,             0.00035382,             0.00035382
                     79,                0.57348,                 0.5132,                 1.0013,                0.63356,                 0.5629,                 1.0301,                0.74182,                0.71068,                0.75987,                 0.5935,                0.80469,                0.91143,                 1.2272,                0.85144,                 1.0087,                 1.2491,             0.00033967,             0.00033967,             0.00033967
                     80,                0.56484,                0.50051,                0.99716,                0.62607,                0.55081,                 1.0255,                0.74993,                0.70783,                0.76448,                0.59786,                0.80761,                0.91468,                 1.2316,                0.84967,                 1.0149,                 1.2495,             0.00032553,             0.00032553,             0.00032553
                     81,                0.56067,                0.48782,                0.99091,                0.62262,                0.53864,                 1.0194,                0.72765,                0.72524,                0.76358,                0.59348,                0.81676,                0.91201,                 1.2408,                0.85716,                 1.0082,                 1.2567,             0.00031138,             0.00031138,             0.00031138
                     82,                0.55873,                0.48803,                0.99045,                 0.6191,                0.53796,                 1.0183,                0.74139,                0.70983,                0.76451,                  0.596,                0.80568,                0.91406,                 1.2309,                0.84566,                 1.0215,                 1.2497,             0.00029723,             0.00029723,             0.00029723
                     83,                0.54925,                0.48207,                0.98933,                0.60879,                0.52773,                 1.0172,                0.74324,                0.72161,                0.76439,                0.59738,                0.80548,                 0.9122,                 1.2397,                0.84594,                 1.0318,                 1.2579,             0.00028308,             0.00028308,             0.00028308
                     84,                0.55636,                0.47484,                0.99162,                0.61651,                 0.5257,                 1.0197,                0.73216,                0.71218,                0.75677,                0.59109,                0.81101,                0.93759,                 1.2454,                0.84316,                 1.0562,                 1.2539,             0.00026894,             0.00026894,             0.00026894
                     85,                0.55018,                0.46704,                 0.9879,                0.60813,                0.51108,                 1.0152,                0.74609,                0.71076,                0.76145,                0.59548,                0.80513,                0.92352,                 1.2365,                 0.8426,                 1.0451,                 1.2495,             0.00025479,             0.00025479,             0.00025479
                     86,                0.54759,                0.46272,                0.98669,                0.60952,                0.50623,                  1.016,                0.74005,                0.71225,                0.75903,                0.59387,                0.80559,                0.93998,                 1.2389,                0.84103,                 1.0736,                 1.2502,             0.00024064,             0.00024064,             0.00024064
                     87,                0.54629,                0.45919,                 0.9838,                0.60516,                0.50601,                 1.0119,                0.73686,                0.71296,                0.75974,                0.59123,                0.81551,                0.94763,                 1.2428,                0.85464,                 1.0714,                 1.2563,              0.0002265,              0.0002265,              0.0002265
                     88,                0.54511,                0.45023,                0.97354,                0.60491,                0.49644,                 1.0015,                  0.745,                0.70669,                0.75865,                0.59139,                0.81296,                 0.9336,                 1.2459,                0.84376,                 1.0712,                 1.2518,             0.00021235,             0.00021235,             0.00021235
                     89,                0.53339,                   0.45,                0.97979,                0.59245,                0.49695,                 1.0077,                0.76036,                0.70798,                0.75955,                0.59348,                0.81003,                0.94149,                 1.2427,                0.84251,                 1.0802,                 1.2493,              0.0001982,              0.0001982,              0.0001982
                     90,                 0.5363,                0.45044,                0.98029,                0.59508,                0.49702,                 1.0078,                0.75455,                0.70904,                0.75784,                0.59155,                0.81428,                0.94392,                 1.2453,                0.84983,                 1.0783,                 1.2538,             0.00018406,             0.00018406,             0.00018406
                     91,                0.46989,                0.33033,                0.93706,                0.49757,                0.31741,                0.95163,                0.73509,                0.71834,                0.75873,                 0.5888,                0.82358,                0.95718,                 1.2591,                0.86284,                 1.0857,                 1.2721,             0.00016991,             0.00016991,             0.00016991
                     92,                0.46452,                 0.3154,                0.92843,                0.49316,                0.30316,                0.94265,                0.72493,                0.72986,                0.76155,                0.59269,                 0.8153,                0.95755,                 1.2492,                0.85437,                 1.0967,                 1.2618,             0.00015576,             0.00015576,             0.00015576
                     93,                0.45803,                0.30912,                0.92662,                0.48533,                0.29347,                0.94183,                0.74416,                0.71049,                0.76415,                0.59418,                0.81292,                0.95514,                  1.243,                0.85227,                 1.0905,                 1.2605,             0.00014161,             0.00014161,             0.00014161
                     94,                0.45832,                0.30951,                0.92319,                0.48651,                0.29456,                0.93753,                0.73428,                0.71675,                0.75979,                 0.5934,                0.81477,                 0.9565,                 1.2502,                0.85443,                 1.0923,                 1.2615,             0.00012747,             0.00012747,             0.00012747
                     95,                0.45426,                 0.3014,                0.92145,                0.48325,                0.29035,                0.93618,                0.73554,                0.71636,                0.76035,                0.59262,                0.81746,                0.97294,                 1.2542,                 0.8567,                 1.1251,                 1.2646,             0.00011332,             0.00011332,             0.00011332
                     96,                0.44495,                0.29459,                0.91899,                0.46996,                0.28248,                0.93242,                0.74628,                0.72403,                0.76395,                0.59715,                0.81399,                 0.9647,                 1.2526,                0.85463,                 1.1141,                  1.265,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.43849,                0.28766,                 0.9134,                0.46544,                0.26904,                0.92715,                0.75251,                0.70515,                0.76179,                0.59408,                0.81503,                 0.9822,                 1.2509,                0.85343,                 1.1365,                 1.2618,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.43911,                   0.29,                0.91461,                0.46339,                0.27819,                0.92849,                0.75238,                0.70754,                0.76335,                0.59553,                 0.8161,                0.96835,                 1.2537,                0.85487,                 1.1246,                 1.2647,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.43245,                0.28266,                0.90978,                0.45714,                0.26378,                0.92331,                 0.7567,                 0.7118,                0.76347,                0.59592,                0.81738,                0.97231,                 1.2574,                0.85291,                 1.1314,                 1.2649,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.43139,                 0.2769,                0.90808,                0.45432,                0.25794,                0.91973,                0.74771,                 0.7096,                 0.7609,                0.59403,                 0.8194,                0.98711,                 1.2579,                 0.8553,                 1.1545,                 1.2641,             4.2584e-05,             4.2584e-05,             4.2584e-05
