                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.56614,                0.49222,                0.99207,                0.62862,                0.54236,                 1.0213,                0.71421,                0.71845,                 0.7575,                 0.5898,                0.79351,                0.90079,                 1.2302,                0.83813,                 1.0151,                 1.2488,             0.00031138,             0.00031138,             0.00031138
                     82,                0.56979,                0.49815,                0.99571,                0.63225,                0.54649,                 1.0259,                0.73963,                0.70601,                0.76649,                0.59875,                0.79031,                0.88981,                 1.2332,                0.83041,                 1.0019,                 1.2476,             0.00029723,             0.00029723,             0.00029723
                     83,                0.55773,                0.48387,                0.98856,                0.62125,                0.53164,                 1.0191,                0.71002,                0.72185,                0.75827,                0.59252,                0.78758,                0.91535,                 1.2247,                0.82594,                  1.042,                 1.2425,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.5545,                0.47698,                 0.9854,                 0.6139,                0.52579,                 1.0151,                0.71246,                0.72955,                 0.7606,                0.59616,                0.78838,                0.90601,                 1.2242,                0.82525,                 1.0176,                 1.2379,             0.00026894,             0.00026894,             0.00026894
                     85,                0.55996,                0.48148,                0.99157,                0.62141,                0.53491,                 1.0209,                0.71451,                  0.734,                0.76575,                0.59957,                0.79041,                0.89894,                 1.2274,                0.82944,                 1.0027,                 1.2419,             0.00025479,             0.00025479,             0.00025479
                     86,                0.55784,                  0.471,                0.98274,                0.62047,                0.51612,                 1.0112,                0.71833,                0.72494,                0.75871,                0.59332,                0.79601,                0.89712,                 1.2396,                0.83392,                 1.0046,                 1.2546,             0.00024064,             0.00024064,             0.00024064
                     87,                0.54389,                0.46077,                0.98358,                0.60098,                0.50548,                 1.0115,                0.74444,                0.69704,                0.75691,                0.59112,                0.79235,                0.91551,                 1.2357,                0.83298,                 1.0353,                 1.2524,              0.0002265,              0.0002265,              0.0002265
                     88,                0.54745,                0.46276,                0.98228,                0.60695,                0.50824,                 1.0103,                 0.7074,                 0.7312,                0.75984,                0.59582,                0.78698,                0.90437,                 1.2278,                0.82793,                 1.0206,                 1.2464,             0.00021235,             0.00021235,             0.00021235
                     89,                0.53757,                0.45153,                0.97478,                0.59651,                0.49499,                 1.0016,                0.72799,                0.72357,                0.76457,                0.59757,                 0.7904,                0.89582,                 1.2342,                0.83679,                 1.0091,                 1.2553,              0.0001982,              0.0001982,              0.0001982
                     90,                 0.5421,                0.45898,                  0.979,                0.60065,                0.50592,                 1.0073,                 0.7329,                0.71778,                0.76078,                0.59593,                0.79215,                0.89817,                 1.2265,                0.83392,                 1.0217,                 1.2448,             0.00018406,             0.00018406,             0.00018406
                     91,                0.47977,                0.33518,                0.93178,                0.51046,                0.32245,                0.94846,                0.73489,                0.70878,                0.76584,                  0.598,                0.79593,                0.90226,                 1.2345,                  0.842,                 1.0236,                 1.2571,             0.00016991,             0.00016991,             0.00016991
                     92,                0.46591,                0.31835,                0.93131,                0.49408,                0.30334,                0.94648,                0.72275,                0.71929,                0.76477,                0.59753,                0.79414,                0.90016,                 1.2388,                0.83707,                  1.036,                  1.257,             0.00015576,             0.00015576,             0.00015576
                     93,                0.45693,                0.31056,                0.92447,                0.48462,                0.29744,                0.93869,                0.72761,                0.72452,                0.76645,                0.60038,                0.79487,                0.90596,                 1.2405,                0.83365,                  1.033,                 1.2589,             0.00014161,             0.00014161,             0.00014161
                     94,                0.45422,                0.31363,                0.92009,                0.48056,                0.29911,                0.93522,                0.72894,                0.71326,                0.76261,                0.59747,                0.79631,                0.90778,                 1.2445,                0.83442,                  1.033,                 1.2565,             0.00012747,             0.00012747,             0.00012747
                     95,                0.44895,                0.30044,                0.92037,                0.47339,                0.28171,                0.93395,                0.69515,                 0.7491,                0.76339,                0.59845,                0.79655,                0.92047,                  1.246,                0.83205,                 1.0611,                 1.2551,             0.00011332,             0.00011332,             0.00011332
                     96,                0.44814,                0.30439,                0.91708,                 0.4752,                0.29422,                0.93208,                0.71565,                0.72701,                0.76428,                0.59945,                0.79557,                0.91209,                 1.2473,                0.83433,                 1.0451,                 1.2606,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.44766,                0.29861,                0.91634,                0.47466,                0.28263,                0.93121,                 0.7149,                0.73578,                0.76375,                0.59851,                0.79744,                0.91407,                 1.2485,                0.82975,                 1.0532,                 1.2554,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.44338,                0.28949,                0.91109,                0.46925,                0.26909,                0.92507,                0.71299,                0.72965,                0.76233,                0.59833,                0.79812,                0.93416,                 1.2496,                0.83143,                 1.0911,                 1.2564,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.43902,                 0.2904,                0.91161,                0.46712,                0.27452,                0.92633,                0.70819,                0.74354,                0.76447,                0.59949,                0.79473,                0.92377,                 1.2483,                0.83346,                 1.0598,                 1.2595,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.43459,                0.28058,                0.90951,                0.46032,                0.26071,                0.92278,                 0.7055,                0.74695,                0.76599,                0.59944,                0.79922,                0.93599,                 1.2507,                 0.8351,                 1.0852,                 1.2609,             4.2584e-05,             4.2584e-05,             4.2584e-05
