                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 0.4709,                0.32209,                0.93293,                 0.7419,                 0.7178,                0.75475,                0.59208,                0.82744,                0.94051,                   1.28,             0.00015576,             0.00015576,             0.00015576
                     92,                0.46387,                0.31278,                0.93635,                0.75174,                0.71603,                0.75389,                0.59304,                0.81948,                0.94368,                 1.2806,             0.00014161,             0.00014161,             0.00014161
                     93,                0.45264,                0.30601,                0.92321,                0.75026,                0.71574,                0.75564,                 0.5952,                0.81469,                0.94798,                 1.2733,             0.00012747,             0.00012747,             0.00012747
                     94,                0.44906,                0.30057,                 0.9219,                0.73522,                0.72221,                0.75553,                0.59484,                0.82622,                0.95507,                 1.2902,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.4454,                0.29439,                0.92126,                0.75721,                0.71163,                0.75815,                0.59777,                0.82056,                0.94449,                 1.2907,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.4462,                0.29283,                0.91915,                0.73764,                0.72187,                0.75362,                0.59436,                 0.8224,                0.96797,                 1.2899,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.4388,                0.28598,                0.91353,                0.75441,                0.71752,                0.75558,                0.59706,                0.82127,                 0.9628,                 1.2861,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.43329,                0.28197,                 0.9153,                0.77013,                0.70192,                0.75367,                0.59619,                0.82109,                0.97742,                 1.2872,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.42927,                0.27986,                0.91198,                0.75762,                0.71748,                0.75688,                0.59844,                0.81746,                0.96765,                 1.2813,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 0.4274,                0.27566,                0.90775,                0.75885,                0.71358,                0.75733,                0.59869,                0.81987,                0.97429,                 1.2861,             2.8437e-05,             2.8437e-05,             2.8437e-05
